Sexe,Statut_marital,Niveau_education,Type_emploi,Age,Annees_emploi,Revenu_annuel,Note_credit,Ratio_dette_revenu,Montant_pret_demande,Nombre_prets_en_cours,Solvable
Homme,Marié,Bachelier,CDI,31,4.09,110527.61,393,0.44,13168.5,0,1
Femme,Marié,Secondaire,CDI,29,23.94,94982.2,495,0.84,13899.65,0,0
Homme,Marié,Bachelier,Indépendant,41,6.76,29245.64,662,0.93,16040.34,3,0
Femme,Marié,Bachelier,CDD,56,5.8,32566.54,647,0.83,38425.84,1,0
Femme,Célibataire,Sans diplôme,CDD,29,19.5,15895.97,596,0.53,47457.09,1,1
Autre,Marié,Master,Sans emploi,58,17.48,39727.82,408,0.71,10721.99,3,1
Homme,Veuf,Master,Sans emploi,49,25.48,62066.1,569,0.34,29657.3,1,1
Autre,Célibataire,Bachelier,CDI,21,38.8,43461.97,390,0.46,11619.67,3,1
Homme,Célibataire,Secondaire,CDI,20,1.62,61849.39,472,0.94,7441.51,1,0
Homme,Veuf,Master,Sans emploi,25,19.68,77764.28,836,0.35,6775.57,2,1
Homme,Divorcé,Sans diplôme,CDD,20,32.6,112396.08,654,0.17,24300.79,0,1
Autre,Veuf,Master,CDI,43,13.92,111584.65,476,0.47,24139.52,3,0
Femme,Divorcé,Sans diplôme,CDI,64,16.33,78449.49,721,0.65,34888.66,4,1
Autre,Marié,Secondaire,Indépendant,23,4.5,50270.14,803,0.13,22546.93,1,1
Autre,Divorcé,Bachelier,CDD,34,21.12,38366.02,331,0.12,15337.24,3,1
Homme,Veuf,Secondaire,Indépendant,68,2.04,76763.71,827,0.3,9333.65,2,1
Femme,Célibataire,Secondaire,CDI,26,12.09,81195.78,514,0.91,30702.1,2,0
Femme,Veuf,Sans diplôme,CDI,35,26.7,39477.94,781,0.67,14780.23,0,0
Femme,Marié,Secondaire,CDI,68,29.99,16446.66,439,0.22,21971.77,3,1
Femme,Marié,Bachelier,CDI,46,10.71,48887.45,445,0.6,5788.87,3,0
Homme,Marié,Master,Sans emploi,32,21.61,114999.52,584,0.66,16206.89,1,1
Femme,Veuf,Sans diplôme,CDD,24,20.94,34700.28,599,0.52,34295.13,4,1
Homme,Marié,Sans diplôme,CDD,31,29.25,44123.37,664,0.76,10541.2,2,1
Homme,Divorcé,Secondaire,CDD,46,15.58,42213.08,336,0.02,34760.99,4,1
Femme,Marié,Secondaire,CDD,21,13.08,87150.27,564,0.19,43718.94,2,0
Autre,Célibataire,Secondaire,Indépendant,62,4.78,90851.33,603,0.97,44121.6,1,1
Homme,Marié,Doctorat,Indépendant,56,17.64,58875.02,842,0.5,12082.81,0,1
Autre,Divorcé,Bachelier,Indépendant,65,12.82,110410.03,475,0.08,26029.97,3,1
Homme,Veuf,Secondaire,CDI,22,7.84,89777.12,814,0.31,45255.36,2,0
Femme,Célibataire,Doctorat,Sans emploi,18,6.52,107677.72,512,0.0,37846.68,2,1
Femme,Veuf,Sans diplôme,CDD,29,13.19,103730.67,792,0.58,43987.39,3,1
Autre,Divorcé,Bachelier,Sans emploi,56,31.66,94985.23,639,1.0,22410.19,0,0
Homme,Veuf,Doctorat,CDD,24,31.39,45302.38,845,0.59,27455.57,2,0
Femme,Divorcé,Sans diplôme,CDD,69,39.15,25053.61,380,0.61,45280.13,4,1
Femme,Divorcé,Master,Indépendant,38,16.79,84061.91,575,0.33,24305.62,1,1
Femme,Divorcé,Master,CDI,24,35.49,87025.79,571,0.24,35157.55,0,1
Homme,Marié,Bachelier,CDI,34,37.35,92823.37,418,0.51,24106.58,4,0
Autre,Divorcé,Doctorat,Sans emploi,18,14.49,99170.34,566,0.9,36860.29,2,1
Homme,Marié,Doctorat,CDI,21,19.54,53947.94,802,0.01,32595.12,0,0
Autre,Marié,Sans diplôme,Indépendant,23,13.58,51052.31,607,0.57,24872.16,3,1
Autre,Veuf,Master,CDD,65,4.3,44737.25,447,0.43,29705.99,0,0
Homme,Veuf,Master,Sans emploi,57,16.08,57639.18,725,0.62,31916.7,2,1
Autre,Divorcé,Secondaire,Indépendant,34,38.53,105907.67,373,0.84,44557.62,1,0
Homme,Veuf,Doctorat,CDD,43,32.89,10210.59,365,0.45,35459.2,4,0
Homme,Célibataire,Bachelier,CDI,48,30.47,70507.28,673,0.22,37118.95,3,1
Homme,Veuf,Master,Sans emploi,45,4.04,34606.13,611,0.38,48646.7,0,1
Femme,Divorcé,Bachelier,Sans emploi,29,0.43,73101.73,383,0.15,8044.78,1,1
Femme,Veuf,Bachelier,CDD,58,5.6,19484.27,396,0.08,13442.61,1,0
Autre,Veuf,Secondaire,CDI,18,15.56,19317.97,718,0.38,19315.5,4,1
Homme,Divorcé,Master,Sans emploi,51,36.84,30898.52,458,0.63,47573.03,0,1
Homme,Marié,Bachelier,CDI,43,5.33,118356.09,710,0.26,15284.98,0,0
Femme,Veuf,Master,CDI,32,22.9,81041.22,428,0.92,30429.26,4,0
Homme,Marié,Secondaire,CDD,66,21.43,57408.15,701,0.69,10299.25,1,0
Femme,Veuf,Sans diplôme,Indépendant,52,6.43,43172.32,779,0.69,17180.02,0,0
Autre,Marié,Sans diplôme,CDI,58,31.71,73891.89,332,0.69,17424.94,3,0
Autre,Veuf,Sans diplôme,Sans emploi,68,1.39,59851.81,317,0.0,36880.98,2,1
Homme,Veuf,Bachelier,Sans emploi,68,3.15,60849.52,755,0.81,9897.31,0,1
Femme,Marié,Bachelier,Sans emploi,61,33.83,52331.38,563,0.92,39064.3,3,1
Femme,Divorcé,Bachelier,Sans emploi,56,13.84,36535.99,674,0.02,18659.58,1,1
Femme,Veuf,Master,CDD,37,39.36,19289.63,330,0.6,38006.17,4,1
Femme,Célibataire,Doctorat,CDI,60,9.45,85480.86,586,0.68,21495.25,3,1
Autre,Veuf,Master,CDD,52,36.02,29497.48,802,0.2,24188.05,3,0
Autre,Célibataire,Sans diplôme,Indépendant,56,22.95,56804.47,709,0.84,10662.38,0,1
Autre,Célibataire,Doctorat,CDI,39,15.74,74597.23,485,0.63,9807.89,4,1
